	acc model caption	acc human caption	is_video	model caption	human caption	img_set	target_idx	acc annot on model	acc annot on human
3	1	0	1	A picture of clothes and wires on a wire fence.	the transition image into the one of the lady in blue from the one where bags where hang up	MSR-VTT-videoTestVideo_video7047-shot1_0	7	0	1
4	1	1	1	A couple of people standing next to each other.	Two girls are clearly shown, and the girl toward the center of the image has both hands pointing leftward with fingers spread.	MSR-VTT-videoTestVideo_video7047-shot1_0	8	1	1
5	1	0	1	A group of people standing next to each other.	Two girls are shown. The girl in brown is turned more toward the girl in blue. The girl in blue is looking straight ahead.	MSR-VTT-videoTestVideo_video7047-shot1_0	9	0	0
9	0	0	1	A group of people standing next to each other.	The person with the white shirt  over her butt is really bent over far with her hands at her back. 	video-storytelling-videocamping_1OzbiB1TIWI-shot14_2	7	0	1
15	0	0	1	A person is using scissors to cut a piece of fabric.	There is an equal amount of yellow and white between both hands	MSR-VTT-videoTestVideo_video7020-shot1_1	5	0	0
16	1	0	1	A bowl filled with a variety of vegetables in a bowl.	You only see the spoon right above the salad. You can see a very small blur of one finger. The mixing haven't started. 	YouCook-video0037-shot3_0	3	0	0
17	1	0	1	A bowl filled with vegetables in a bowl.	small particles of something is sprinkle on the food inside the bowl, no finger is visible	YouCook-video0037-shot3_0	4	0	0
19	0	0	1	A man standing next to a table full of food.	The person sitting down in the background in a chair has their hands behind their head.  There is a person with a blue Hawaiian shirt on the right side of the picture. 	MSR-VTT-videoTestVideo_video8886-shot1_1	4	1	0
20	1	0	1	A picture of a person holding a bird in his hand.	Just the first letter in the text at the bottom has completely faded away.	MSR-VTT-videoTestVideo_video8282-shot0_0	7	0	1
21	1	0	1	A person holding a brush on a person's face.	Half of the 2nd word of the text is faded and can't be read.  	MSR-VTT-videoTestVideo_video8282-shot0_0	8	0	0
29	0	0	1	A person holding a bottle of water to a dog.	the first two letters of the third word have the left hand in the background of them	MSR-VTT-videoTestVideo_video8282-shot1_1	0	0	1
31	1	0	1	A dog is playing with a prong on a yellow toothbrush.	The gray object is not touching any of the text on the bottom.  The woman's left hand is behind the first two words of text. 	MSR-VTT-videoTestVideo_video8282-shot1_1	2	0	1
32	0	0	1	A car that is driving down the street.	The car front and back cannot be seen.  The front wheel has two orange spots and the back wheel has one.	MSR-VTT-videoTestVideo_video8560-shot1_3	1	0	0
33	1	0	1	A man standing next to a car that is parked in a parking lot.	You can just barely see the front corner of the white van that was next to the black car. 	MSR-VTT-videoTestVideo_video8560-shot1_3	2	0	0
34	1	0	1	A group of people holding umbrellas in front of a building.	The woman has just emerged from her face being blocked by a camera stand in teh background as she is escorted by a man with an umbrella	video-storytelling-videowedding_de8dLXvgV-I-shot6_0	6	0	0
45	1	0	1	A man sitting next to a woman on a bed.	A boy is walking into a room full of people.  On the far left is a girl in the foreground wearing a red scrunchie that you can just barely see on the far left side of the image. 	MSR-VTT-videoTestVideo_video7041-shot1_1	7	0	0
46	1	1	1	A group of people walking around a room.	A group of dancers on the dance floor.  The girl in the autumn dress is facing the blonde boy in blue.	MSR-VTT-videoTestVideo_video7041-shot1_1	8	1	1
48	0	0	1	A person is cutting a piece of fruit on a table.	Two images are blended, with the dominant image being a hand slicing something with a vegetable slicer. The slicer on the table is very faded.	YouCook-video0034-shot14_4	0	0	1
49	1	0	1	A person slicing a piece of fruit on a cutting board.	The cucumber is just to be cut into, you can see a transparent image covering the image 	YouCook-video0034-shot14_4	1	0	0
56	1	0	1	A man standing next to a girl in a pond.	Two people standing side by side fishing.  The man on the left has jerked his whole body around so that you can now see text on his shirt. 	MSR-VTT-videoTestVideo_video7816-shot0_0	2	0	0
57	0	0	1	A man standing next to a fence with a baseball bat in his hand.	You can just start to see the teeth of the woman coming in from the right. You can only see one eye clearly. 	video-storytelling-videocamping_dBXYM3dQTSo-shot74_0	4	0	1
59	1	1	1	A girl is smiling while holding her cell phone.	The girl's left eye and mouth is visible but half of her left cheek is cut off.	video-storytelling-videocamping_dBXYM3dQTSo-shot74_0	6	0	0
65	1	0	1	A view of a bridge over a bridge.	There is the slightest of openings to see the end of the bridge through the obstruction.	video-storytelling-videocamping_dBXYM3dQTSo-shot8_1	6	0	0
